M_feature,mz,rt
FT540,675.3979225,1789.159419
FT541,676.3080545,208.1770009
FT542,677.4124778,1813.965977
FT543,678.4160308,1813.965977
FT544,681.1794225,220.6974019
FT545,681.3482585,1350.959022
FT546,682.3788162,858.8506287
FT547,683.380928,858.5601397
FT548,688.3543116,100.9749595
FT549,688.8337286,42.05630556
FT550,688.9988234,40.25956944
FT551,690.956388,42.295
FT552,691.2360628,862.7070332
FT553,696.3928253,731.393316
FT554,701.1938575,52.54918904
FT555,703.1931173,52.54918904
FT556,704.2400688,82.31286335
FT557,704.8089251,43.51008333
FT558,704.9728379,41.60780556
FT559,705.2230666,98.55660989
FT560,705.9768621,43.037
FT561,706.9318728,43.037
FT562,708.3901059,906.4289388
FT563,709.2442778,517.5537069
FT564,715.2806815,852.8953687
FT565,720.7803658,45.42415378
FT566,720.9469316,41.60780556
FT567,721.1110883,41.00233333
FT568,722.3011198,661.6060754
FT569,723.0704084,41.00233333
FT570,724.8764023,43.037
FT571,728.3443643,918.0612466
FT572,736.9223336,43.037
FT573,737.0852504,41.00233333
FT574,740.847888,41.60780556
FT575,743.2504133,489.1699694
FT576,744.3403797,706.2599205
FT577,745.3461511,711.8635174
FT578,745.357674,1311.704032
FT579,746.2774215,133.1736601
FT580,746.3538296,716.9856416
FT581,746.3609755,1311.180469
FT582,749.3095199,1755.914341
FT583,749.3525884,967.1571828
FT584,751.3638402,978.4373843
FT585,753.0573391,43.037
FT586,753.2370601,566.6016614
FT587,753.3808081,895.3608563
FT588,754.3837016,895.3608563
FT589,755.3597326,587.113823
FT590,756.3617699,585.4681529
FT591,756.3946537,1002.407776
FT592,756.4040268,1004.513273
FT593,756.8208377,41.91130556
FT594,756.987082,41.126
FT595,757.3973256,1002.407776
FT596,758.822813,43.037
FT597,758.942922,43.037
FT598,763.1938075,54.99894548
FT599,767.4668403,576.3284174
FT600,768.3240685,705.5305986
FT601,771.2400113,249.3432987
FT602,772.7955893,43.69704167
FT603,772.9604472,41.60780556
FT604,773.2447648,636.4179055
FT605,774.3332191,954.5004827
FT606,774.9215015,43.037
FT607,775.3359167,954.2095717
FT608,783.3544009,580.0300872
FT609,788.4021378,1091.358415
FT610,788.9351343,41.60780556
FT611,789.097087,41.00233333
FT612,789.2406021,335.3254279
FT613,789.3640111,527.3128315
FT614,789.4053224,1090.183731
FT615,790.4087201,1090.778954
FT616,791.0570785,41.00233333
FT617,792.8632403,41.00233333
FT618,793.4122002,1134.340095
FT619,804.9083747,43.037
FT620,805.0725549,41.126
FT621,808.8373003,41.60780556
FT622,809.2372689,240.9720928
FT623,811.4210144,877.66561
FT624,819.4267873,1129.620315
FT625,820.4292328,1129.620315
FT626,821.048592,41.00233333
FT627,821.4318763,1129.329702
FT628,824.8107132,41.60780556
FT629,824.9753708,41.00233333
FT630,826.9327008,43.037
FT631,836.4317356,930.8639136
FT632,837.4031179,1061.910305
FT633,840.78502,44.47609972
FT634,840.9478099,41.58040278
FT635,842.9086216,43.037
FT636,845.2763245,546.4766763
FT637,845.2743612,224.2904445
FT638,846.2774012,223.7160219
FT639,853.4850363,1118.576022
FT640,854.4260148,809.8073387
FT641,856.9224745,41.60780556
FT642,858.8891915,43.037
FT643,866.3908466,870.0479668
FT644,872.8962618,42.295
FT645,873.061459,43.037
FT646,874.8838733,43.037
FT647,875.0258306,43.037
FT648,876.8248863,42.295
FT649,881.5154432,129.1577392
FT650,884.4030834,692.0144845
FT651,887.4671149,1146.834345
FT652,888.470954,1146.834345
FT653,889.0303245,43.037
FT654,892.7977101,42.32240278
FT655,900.4496583,1017.407115
FT656,904.2634877,543.5906707
FT657,907.4067365,654.1963902
FT658,907.4075373,782.3710467
FT659,907.4175684,653.6134064
FT660,908.4106388,653.904898
FT661,908.7731214,42.295
FT662,908.9376488,43.037
FT663,909.4118262,658.3665589
FT664,924.9108194,42.295
FT665,940.8839985,43.037
FT666,941.0484432,43.037
FT667,942.8586449,43.037
FT668,957.0245845,43.037
FT669,960.780402,43.037
FT670,976.7590224,43.037
FT671,976.9260155,43.037
FT672,978.8836527,43.037
FT673,979.5475863,796.2947649
FT674,981.3935213,333.2794761
FT675,991.4528467,1137.386223
FT676,992.4363271,1155.549933
FT677,992.8979224,42.295
FT678,993.44117,1155.549933
FT679,994.8739855,43.037
FT680,995.4988559,774.1662576
FT681,999.4967177,1039.12109
FT682,999.5185607,974.7191962
