M_feature,mz,rt
FT0582,436.5484434,651.4019775
FT0583,436.7011503,608.925
FT0584,436.8865086,567.1896462
FT0585,437.1618203,548.558
FT0586,437.6630458,548.5532615
FT0587,437.7274579,576.2665103
FT0588,437.8957547,586.6049805
FT0589,438.2327874,611.2599487
FT0590,439.222813,583.996
FT0591,440.0800192,608.9639282
FT0592,440.2109903,643.773
FT0593,440.2321253,551.058
FT0594,440.7005334,623.7314453
FT0595,440.7325009,551.1182861
FT0596,440.8502265,640.1326294
FT0597,440.8553621,651.4019775
FT0598,440.8841081,546.029
FT0599,441.5169548,648.792
FT0600,442.217309,637.6340942
FT0601,442.2601597,563.3665161
FT0602,442.5508254,637.6340942
FT0603,442.8844472,637.6340942
FT0604,443.2198804,648.7850342
FT0605,443.2854015,578.8857422
FT0606,443.5519978,641.3189392
FT0607,443.7806201,623.8177227
FT0608,443.9683801,651.332
FT0609,444.2833569,576.0996094
FT0610,445.1596709,621.2047119
FT0611,445.5595818,648.7885171
FT0612,445.8919159,618.874
FT0613,445.8969196,648.792
FT0614,446.1607267,623.904
FT0615,446.5676184,543.459
FT0616,446.6670646,648.8620605
FT0617,446.9000998,543.459
FT0618,447.163971,623.9585308
FT0619,447.2247525,641.3475
FT0620,447.7703542,618.874
FT0621,448.2060869,651.3318936
FT0622,449.1984675,641.323
FT0623,449.7223667,633.8528442
FT0624,450.2025423,641.323
FT0625,450.6985417,581.4754028
FT0626,451.0721583,653.862
FT0627,451.2189136,546.0385132
FT0628,451.2137668,646.252
FT0629,451.5639026,621.5229492
FT0630,451.8985567,622.7135308
FT0631,453.6400166,557.2351462
FT0632,453.7333187,631.3016357
FT0633,454.1454584,548.5532615
FT0634,454.2306451,604.025
FT0635,454.2968185,588.8730469
FT0636,454.4725057,551.058
FT0637,454.6427263,548.5087891
FT0638,454.7331648,604.025
FT0639,456.2337688,596.3561604
FT0640,456.2448315,606.473877
FT0641,456.267974,631.1896973
FT0642,456.2763643,601.605
FT0643,456.5802111,608.9639282
FT0644,456.6532634,611.404
FT0645,456.7334637,591.736
FT0646,456.9144952,608.9639282
FT0647,457.1793192,581.4754028
FT0648,457.2618909,631.1896973
FT0649,457.2784133,598.8076782
FT0650,457.6723804,563.4282227
FT0651,458.2400078,581.2134399
FT0652,458.2957001,565.9482422
FT0653,459.2396905,613.925
FT0654,459.8570253,651.3317871
FT0655,460.1208598,573.7163086
FT0656,460.5207289,651.332
FT0657,460.7137604,621.414
FT0658,460.8604162,651.4019775
FT0659,460.9129729,586.6049805
FT0660,461.1650204,604.025
FT0661,463.2138359,617.542835
FT0662,464.2173563,618.874
FT0663,464.7156513,648.7850342
FT0664,465.2052633,562.4606323
FT0665,466.0315925,589.1946411
FT0666,467.2087356,543.459
FT0667,468.0871634,611.4290203
FT0668,468.238777,632.6075674
FT0669,468.5904438,611.4540405
FT0670,469.693768,651.3317871
FT0671,469.7206868,633.753
FT0672,470.1415427,558.5686035
FT0673,470.1979417,651.3317871
FT0674,470.2912406,581.406
FT0675,470.703631,653.862
FT0676,471.2753821,651.3317871
FT0677,471.7808297,611.4540405
FT0678,472.2748703,656.402
FT0679,472.2756309,568.5379028
FT0680,473.7346174,581.406
FT0681,473.7821178,641.323
FT0682,473.9745638,614.013855
FT0683,474.2142634,632.4713486
FT0684,474.7154475,631.303
FT0685,475.2509777,641.323
FT0686,475.2551286,553.6880493
FT0687,476.2558478,641.2059326
FT0688,477.1506363,647.5570303
FT0689,477.2396908,606.455
FT0690,477.2655088,623.904
FT0691,478.0433905,631.303
FT0692,478.2653692,623.7314453
FT0693,478.4470477,632.5779221
FT0694,478.6473047,633.8029221
FT0695,478.8469547,633.753
FT0696,479.0600898,651.3317871
FT0697,479.2071089,636.2733154
FT0698,479.4886913,591.5995234
FT0699,480.0981085,549.8032615
FT0700,480.5639721,576.237
FT0701,482.1834742,631.1896973
FT0702,482.2294187,653.8887329
FT0703,483.0696945,611.2599487
FT0704,483.1615952,584.0252075
FT0705,483.224285,643.7023926
FT0706,483.7290375,576.237
FT0707,484.1597041,588.8730469
FT0708,484.2406651,648.8620605
FT0709,484.5656626,621.2047119
FT0710,484.7806216,621.5229492
FT0711,484.9058107,626.4831543
FT0712,485.2547268,628.833
FT0713,485.7716642,581.4754028
FT0714,486.2144119,610.0585979
FT0715,486.2868155,580.0312471
FT0716,486.7560847,621.414
FT0717,487.215198,638.843
FT0718,487.2938966,581.4754028
FT0719,487.5992419,581.3444214
FT0720,487.7178647,578.6564941
FT0721,488.1511577,559.7979514
FT0722,488.2484202,561.0576477
FT0723,488.28234,599.165
FT0724,488.7248282,563.3665161
FT0725,489.2443404,571.057
FT0726,489.7412024,568.5379028
FT0727,490.2339317,581.2134399
FT0728,491.2300792,578.8857422
FT0729,491.2893107,599.165
FT0730,491.7025464,583.996
FT0731,492.0763141,641.4227295
FT0732,492.2045502,581.2134399
FT0733,492.2239266,571.057
FT0734,492.2847031,611.404
FT0735,492.7674088,613.925
FT0736,493.7441664,581.4261038
FT0737,494.1349123,621.2047119
FT0738,494.1708262,648.7850342
FT0739,494.6747522,648.792
FT0740,495.1726562,646.2280884
FT0741,495.5828225,563.4282227
FT0742,495.9129444,565.9482422
FT0743,496.1545802,651.332
FT0744,496.567145,656.402
FT0745,496.5731325,633.8528442
FT0746,496.7622536,616.4939575
FT0747,496.9026152,656.402
FT0748,497.2803237,565.887
FT0749,497.5812281,581.4754028
FT0750,497.7428309,642.6511536
FT0751,498.2905163,617.5874023
FT0752,498.5739238,576.2665103
FT0753,498.7669213,565.9482422
FT0754,499.0749492,576.237
FT0755,499.2547959,560.8699951
FT0756,499.282341,616.2116699
FT0757,499.5878967,565.887
FT0758,501.2662314,573.7163086
FT0759,502.1998526,641.4227295
FT0760,502.2318788,608.7131958
FT0761,502.2499488,636.303
FT0762,502.2651447,636.3927002
FT0763,502.5792957,562.1384976
FT0764,502.684174,638.8878086
FT0765,502.7491157,648.792
FT0766,503.5994743,647.5100442
FT0767,503.6752129,648.7850342
FT0768,504.2423168,638.843
FT0769,504.7171392,568.467
FT0770,504.7376405,546.029
FT0771,505.2439061,638.843
FT0772,505.5219873,589.1946411
FT0773,505.7375504,576.2960205
FT0774,506.2451098,638.843
FT0775,506.7297967,576.237
FT0776,507.2079854,548.5485229
FT0777,507.2487283,637.6029663
FT0778,507.5749309,596.755
FT0779,507.7675943,543.4458618
FT0780,508.0042451,543.4588013
FT0781,508.2101355,545.982605
FT0782,508.6667501,612.5924744
FT0783,508.6887074,624.0130615
FT0784,509.1693024,611.2599487
FT0785,509.251716,576.0996094
FT0786,509.5196948,589.1946411
FT0787,510.2536433,578.6564941
FT0788,510.3239493,656.4119873
FT0789,511.2774547,653.8887329
FT0790,511.3261297,655.1719167
FT0791,512.1916919,604.025
FT0792,512.3282848,656.4119873
FT0793,512.691004,604.0535278
FT0794,513.2035168,616.404
FT0795,513.2982875,581.4754028
FT0796,513.704791,606.1663208
FT0797,513.7145398,565.9482422
FT0798,514.2176442,565.9482422
FT0799,514.2830992,604.025
FT0800,514.6817909,601.2438354
FT0801,514.7175414,565.9482422
FT0802,514.9397384,611.4540405
FT0803,515.2570504,643.7023926
FT0804,515.2847881,604.025
FT0805,516.6723441,582.6193237
FT0806,517.1829188,581.4754028
FT0807,517.2417479,653.862
FT0808,517.2882627,605.0819397
FT0809,517.6763587,581.4408711
FT0810,517.7473149,618.874
FT0811,518.2244188,633.7164307
FT0812,519.231821,633.7164307
FT0813,519.5951907,631.303
FT0814,521.2736943,571.1265869
FT0815,521.7750523,573.647
FT0816,522.1305591,631.1896973
FT0817,522.2431956,643.773
FT0818,523.7525768,633.7347153
FT0819,524.2521631,633.753
FT0820,524.2716925,601.644104
FT0821,524.3002474,552.1579285
FT0822,524.7532606,633.753
FT0823,525.1790337,621.414
FT0824,525.1834335,563.4282227
FT0825,525.2250034,578.827
FT0826,525.2538465,631.1896973
FT0827,525.2678147,604.025
FT0828,525.3305475,651.332
FT0829,525.6012147,641.3574524
FT0830,526.1872678,564.6267581
FT0831,526.2292799,576.0996094
FT0832,526.5956343,646.2756348
FT0833,526.7518108,573.5528564
FT0834,527.239796,651.3669888
FT0835,527.3125427,546.029
FT0836,527.590268,633.8528442
FT0837,527.917996,559.7771084
FT0838,528.2975858,548.558
FT0839,528.5861568,560.978
FT0840,529.2286932,617.598114
FT0841,529.2786856,638.843
FT0842,529.3018673,548.5485229
FT0843,530.2484478,586.546
